StoreNo,TimeStamp,TotalValueEclGST,NumberOfChicken,NumberApple,NumberOfBanana,NumberOfBeer,HourOfDay,MinuteOfHour
72623,2018/5/1 2:10:51,175,7,10,11,1,19,46
20603,2018/6/12 10:11:41,137,6,11,4,5,13,54
97753,2018/6/3 5:59:46,91,7,11,0,1,6,17
63265,2018/11/9 17:39:29,151,10,11,4,3,11,58
86236,2018/7/28 23:50:56,100,5,7,4,2,23,40
81689,2018/11/8 21:52:34,154,10,13,4,2,20,59
69993,2018/3/14 20:07:09,140,9,11,4,2,12,56
54680,2018/6/8 8:31:36,119,7,12,3,1,1,11
29716,2018/2/15 8:06:43,196,8,11,8,8,23,38
03039,2017/12/6 8:21:56,143,6,11,6,3,9,20
50512,2018/8/13 0:14:16,129,8,11,4,1,17,7
90708,2018/6/6 22:31:26,192,9,19,4,6,19,20
14682,2018/3/3 11:37:33,106,5,10,2,4,5,24
61982,2018/1/4 6:42:56,220,13,17,8,2,11,11
82541,2018/3/17 17:04:18,95,8,4,2,3,17,51
62485,2017/12/28 14:51:37,207,12,13,6,7,5,53
08657,2018/3/30 17:13:23,156,5,17,6,2,20,10
82680,2018/5/29 2:54:36,137,5,12,3,7,5,59
65219,2018/10/14 23:28:44,155,7,12,5,5,17,48
72908,2017/12/25 10:19:40,131,8,11,3,3,17,7
18912,2018/7/25 0:17:13,142,5,4,7,8,11,32
67102,2018/1/29 11:02:51,188,17,15,2,2,11,50
79362,2018/8/5 3:30:04,151,8,12,5,3,18,56
52278,2018/8/8 3:59:04,155,14,10,2,3,15,19
82060,2018/10/26 19:26:52,158,8,14,3,6,5,11
62461,2017/12/17 5:34:10,133,10,11,3,1,16,37
22133,2017/12/27 6:45:33,124,4,11,7,0,22,3
67849,2018/10/12 18:35:38,142,10,12,3,2,2,8
60986,2018/9/27 18:41:59,137,11,8,3,3,22,29
67760,2018/4/9 4:23:51,152,6,7,6,8,13,13
00508,2018/10/29 1:51:04,153,9,11,5,3,8,51
28164,2017/11/24 21:40:35,167,15,6,6,1,16,57
38713,2018/5/19 22:03:58,146,7,9,6,4,12,16
53157,2018/5/23 18:01:24,151,3,9,9,5,1,16
84640,2018/2/22 20:52:15,131,5,13,3,5,14,6
40187,2018/3/10 10:43:07,195,10,12,9,3,22,7
61540,2018/4/26 20:43:44,161,7,15,3,7,19,41
17276,2018/8/21 7:07:03,168,7,14,5,6,4,36
99710,2018/8/16 13:48:13,190,11,14,6,4,13,3
84255,2018/5/16 8:18:20,156,8,12,5,4,13,38
97011,2018/9/24 23:10:05,143,5,12,5,5,1,30
81364,2018/5/3 0:36:11,173,10,16,3,5,15,34
67248,2018/10/28 7:03:31,125,7,5,6,3,23,18
46569,2018/10/25 15:40:19,129,9,11,2,3,11,12
23023,2018/6/9 4:13:04,141,8,10,6,1,3,26
01984,2018/9/7 20:51:36,113,5,13,2,3,9,48
91362,2017/12/4 8:45:36,221,14,19,2,9,0,30
99356,2018/8/11 5:30:24,146,6,10,5,6,0,39
96715,2018/7/25 11:58:13,105,5,9,3,3,14,46
42042,2017/11/30 17:10:50,134,8,15,2,2,23,53
25517,2018/9/16 18:27:21,152,8,7,7,4,3,53
88288,2018/5/17 4:40:36,149,6,17,5,1,13,47
35237,2018/3/13 8:08:24,151,9,10,4,5,23,2
12118,2018/4/22 15:34:38,133,7,11,4,3,4,29
26166,2018/2/7 15:10:10,147,11,8,3,5,7,14
13305,2018/3/26 12:26:53,164,8,8,8,4,14,33
34102,2018/1/4 9:10:35,154,10,9,6,2,0,5
71086,2018/8/19 15:10:34,137,9,9,4,3,21,39
26483,2017/12/31 20:25:52,157,9,15,1,7,11,11
49157,2018/7/9 3:28:42,165,12,13,2,5,15,19
24452,2018/11/20 3:41:19,200,8,17,8,4,23,36
98341,2018/2/11 22:42:06,146,6,10,5,6,23,9
09127,2018/10/11 15:31:43,196,12,12,7,4,4,3
73278,2018/3/31 5:52:41,140,6,7,7,4,2,50
57296,2018/1/11 1:44:50,129,3,13,3,7,5,50
44736,2018/6/5 19:55:54,116,4,11,6,0,21,48
34047,2018/3/29 14:25:59,139,6,16,3,3,18,25
99899,2018/4/7 2:49:40,158,10,14,4,2,14,5
99064,2018/10/1 13:57:10,214,9,14,8,8,20,32
00199,2018/7/5 9:33:32,182,10,11,6,6,13,40
86615,2018/5/15 0:49:18,166,12,11,5,2,7,47
82962,2018/9/22 8:35:19,194,7,15,9,4,12,31
63417,2018/8/21 14:06:22,183,11,15,4,5,13,18
80062,2018/7/20 16:04:28,136,6,12,4,4,11,55
19225,2018/9/6 21:18:59,118,7,10,2,4,3,39
53489,2018/5/28 18:20:32,96,5,7,1,6,12,46
10120,2018/1/11 1:17:33,207,10,21,6,3,10,7
56237,2018/11/15 3:48:47,187,8,14,6,7,16,38
56943,2018/10/7 3:57:13,176,9,14,7,2,10,59
12049,2018/2/2 1:58:32,189,10,10,8,5,6,37
25562,2018/6/11 2:42:47,203,18,11,2,7,6,0
29431,2018/5/11 4:19:34,185,10,15,5,5,20,49
95155,2018/1/13 22:27:55,188,10,17,5,4,4,56
89611,2018/7/13 19:22:41,128,4,9,6,4,11,50
55177,2018/7/1 2:44:04,155,7,17,5,1,7,25
42178,2017/12/15 15:22:34,154,11,11,3,4,15,36
91255,2018/7/18 17:50:58,88,4,7,2,4,7,40
46671,2017/12/24 0:26:39,187,10,20,4,3,19,13
51964,2018/8/13 22:29:22,229,10,18,9,5,20,56
49697,2018/8/17 9:20:40,157,7,12,4,7,7,11
61544,2018/7/12 8:01:55,92,5,7,3,2,14,54
75679,2018/10/14 9:24:45,140,6,9,6,4,18,7
61361,2018/1/26 21:41:03,152,8,15,3,4,15,34
86444,2018/4/18 11:13:30,171,7,10,8,5,5,22
66344,2017/11/22 13:32:14,123,6,10,4,3,1,31
15924,2018/9/26 5:28:44,199,11,15,6,5,11,3
98523,2018/11/8 9:17:23,147,5,17,3,5,0,19
51722,2018/8/30 22:49:08,204,11,21,3,6,13,51
11626,2018/1/20 19:28:54,162,7,11,7,4,3,46
75480,2018/10/6 16:43:26,126,6,10,5,2,5,10
17971,2018/1/22 1:12:46,120,4,9,5,4,13,43
22869,2018/8/10 14:41:36,148,8,11,7,0,9,2
48456,2018/6/21 23:35:32,190,12,13,7,2,8,36
79426,2018/10/2 13:49:05,150,6,17,2,6,4,6
52508,2018/3/2 20:27:17,144,7,13,5,2,18,22
45685,2018/11/6 3:37:47,166,11,10,5,4,2,35
77799,2018/3/7 16:59:30,101,5,10,2,3,8,41
46410,2018/6/19 8:47:38,124,3,12,6,2,13,50
90578,2018/4/22 15:40:48,112,3,11,5,2,9,48
75147,2018/4/21 10:54:59,162,5,14,7,4,5,55
99174,2018/9/23 7:21:30,171,7,10,8,5,1,32
96596,2017/12/18 18:05:17,160,7,19,4,2,10,25
05509,2017/11/21 4:01:44,223,9,22,7,5,15,18
86530,2018/10/17 8:48:07,165,5,11,7,7,10,40
99264,2018/1/2 17:36:26,172,6,19,5,4,16,3
70074,2017/12/12 17:26:32,147,11,13,3,1,8,48
51898,2018/7/3 9:51:02,135,7,7,5,5,4,30
37729,2018/8/6 16:17:26,208,6,20,9,4,12,23
83214,2018/6/26 1:41:17,129,10,7,2,5,18,43
53582,2018/7/21 15:03:45,126,8,13,2,2,10,4
91622,2018/1/24 5:47:56,189,12,15,4,5,18,39
23678,2018/6/9 4:24:45,160,7,16,3,6,20,33
74280,2018/10/28 23:13:08,141,6,10,5,5,17,35
18278,2018/3/26 23:50:02,133,7,11,4,3,0,53
23614,2018/2/8 12:10:33,183,7,19,5,5,14,38
93301,2018/5/9 20:24:35,121,7,10,3,3,1,32
25716,2018/10/24 11:37:42,170,10,9,8,2,0,10
72602,2018/4/27 14:58:00,127,6,13,3,3,6,33
61464,2017/12/18 10:59:43,216,8,10,11,8,17,57
68536,2018/3/17 14:00:50,128,9,8,4,2,23,42
62644,2018/3/26 7:31:33,170,8,11,6,6,1,38
93230,2018/2/5 2:47:27,156,9,15,4,2,7,6
90660,2017/12/17 17:04:33,176,12,13,4,4,1,10
78366,2018/1/6 22:40:27,170,6,20,3,6,7,24
23029,2018/9/1 14:26:11,125,5,10,5,3,2,33
67198,2018/5/29 7:31:10,149,7,11,6,3,11,43
16255,2018/6/3 17:01:34,185,12,10,6,5,0,26
07499,2018/8/23 20:29:25,163,6,16,6,3,23,58
90630,2018/1/5 20:23:52,169,7,13,5,7,23,9
40347,2017/12/14 1:17:21,155,5,8,6,9,21,36
90899,2018/3/27 23:15:10,131,8,9,4,3,9,10
09333,2018/7/26 5:54:26,128,7,12,1,6,15,47
31498,2018/4/27 16:38:10,143,4,10,8,3,2,41
42607,2018/9/29 10:40:23,165,4,11,9,5,11,0
33411,2017/12/23 4:13:07,121,5,10,2,7,3,29
87286,2017/12/10 3:17:16,102,5,7,3,4,15,42
10543,2018/1/24 14:59:48,122,5,8,5,4,22,1
13730,2018/7/19 14:36:03,144,6,10,6,4,12,28
51604,2018/8/4 18:06:10,152,6,14,5,4,15,18
31467,2018/5/11 6:03:28,173,10,14,4,5,1,23
23697,2017/11/28 5:34:00,156,11,7,4,6,3,9
26555,2018/6/19 11:07:16,152,7,18,1,6,9,49
